identifier,village_name,admin_cgaz_1,admin_cgaz_2,lat,lon,population,num_connections,energy_demand,year15_demand_mwh,distance_to_existing_transmission_lines,has_health_facility,has_education_facility,mean_rwi,lcoe_grid,lcoe_mg,lcoe_shs,technology,lcoe_best,priority_score,priority_rank
16664,Malanville,Alibori,Malanville,11.628547,3.495627,44,17,3.689,6.180361836644716,182.74412342184823,False,True,0.076,154.4084,0.3238,0.8213,Mini-Grid,0.3238,17.58714669322353,1707
5098,Location #7909,Zou,Djidja,7.377139,2.169775,108,42,9.114,15.26912924347518,10.620720550493289,False,False,-0.461,3.9821,0.3238,0.8213,Mini-Grid,0.3238,10.90564582226156,10404
781,Dahè,Mono,Houeyogbe,6.524083,1.932591,198,77,18.008,30.169681744184885,12.37850938285108,False,False,0.132,2.47,0.3125,0.8213,Mini-Grid,0.3125,8.626587011800794,16229
13578,Kouarfa,Atakora,Toucountouna,10.563094,1.558684,1297,415,94.02,157.51629706731802,40.7662705517115,False,True,-0.572,1.6915,0.3172,0.8213,Mini-Grid,0.3172,22.416949214070037,781
1644,Bopa,Mono,Bopa,6.624211,1.944051,281,109,25.818,43.254156112359254,4.041404271378449,False,False,-0.11,0.815,0.3107,0.8213,Mini-Grid,0.3107,10.343199900718679,13058
11095,Location #15653,Borgou,Bembereke,10.172764,2.926753,41,16,3.472,5.816811140371497,29.332562953427882,False,False,-0.392,26.6305,0.3238,0.8213,Mini-Grid,0.3238,10.478370516483976,12446
9122,Tchalinga,Donga,Ouake,9.796801,1.39436,106,41,9.33,15.631004590917646,10.553316601419809,False,False,-0.365,3.8591,0.3165,0.8213,Mini-Grid,0.3165,11.206048142274161,9309
3331,Illosso-Saharo,Plateau,Sakete,6.733789,2.593756,101,39,10.628,17.80560737323395,0.8878154601391056,False,False,-1.024,0.5451,0.292,0.8213,Mini-Grid,0.292,18.276001693853814,1615
11298,Takotiéta,Atakora,Boukombe,10.291834,1.026399,72,28,6.076,10.17941949565012,41.176651458516936,False,False,-0.571,21.4329,0.3238,0.8213,Mini-Grid,0.3238,11.584680960035989,7893
11071,Location #12525,Borgou,Bembereke,10.17555,2.83287,59,23,5.424,9.087092057999714,19.088332194293,False,False,-0.472,11.2737,0.3113,0.8213,Mini-Grid,0.3113,12.50286047705217,5109
