identifier,village_name,admin_cgaz_1,admin_cgaz_2,lat,lon,population,num_connections,energy_demand,year15_demand_mwh,distance_to_existing_transmission_lines,has_health_facility,has_education_facility,mean_rwi,lcoe_grid,lcoe_mg,lcoe_shs,technology,lcoe_best,priority_score,priority_rank
1354,Togba,Atlantique,Abomey-Calavi,6.459371,2.307502,2348441,696396,249638.63,418231.78688107093,0.0,True,True,0.531,0.2169,0.2621,0.8213,Grid Extension,0.2169,72.85999074445625,1
1362,Akpro-Missérété,Ouémé,Avrankou,6.532801,2.615706,1019945,299587,106626.112,178635.93206684876,0.0,True,True,0.58,0.2184,0.2628,0.8213,Grid Extension,0.2184,52.574428384546245,2
6581,Savè,Collines,Save,8.055549,2.509074,1281,497,273.979,459.0103973006458,0.48125839548825616,True,True,0.036,0.1465,0.2291,0.8213,Grid Extension,0.1465,49.554045685684656,3
9866,Parakou,Borgou,Parakou,9.348676,2.618792,409401,122180,47310.405,79261.43169916111,0.0,True,True,0.263,0.2008,0.2551,0.8213,Grid Extension,0.2008,47.58780813921601,4
6090,Kétou,Plateau,Ketou,7.362435,2.604362,52644,15711,7326.889,12275.094919200857,0.0,True,True,0.228,0.1667,0.2403,0.8213,Grid Extension,0.1667,46.66091269512475,5
5297,Kétou,Plateau,Ketou,7.416027,2.734966,13470,4059,1946.41,3260.9157176643107,7.687693398275319,True,True,0.063,0.1744,0.2383,0.8213,Grid Extension,0.1744,46.15396786237524,6
6570,Savè,Collines,Save,8.032339,2.485911,41482,11848,5235.577,8771.417805262898,1.013936932426771,True,True,0.231,0.1765,0.2443,0.8213,Grid Extension,0.1765,45.27651560613411,7
6238,Bohicon,Zou,Bohicon,7.191067,2.050642,616409,191319,62672.055,104997.55406508502,0.0,True,True,0.416,0.2373,0.2711,0.8213,Grid Extension,0.2373,45.260166044834946,8
7162,Tchaourou,Borgou,Tchaourou,8.886797,2.597246,28008,8332,3258.21,5458.638313844993,0.0,True,True,-0.123,0.1988,0.2543,0.8213,Grid Extension,0.1988,44.53319280127161,9
5393,Kétou,Plateau,Ketou,7.479635,2.712881,8549,2916,1328.211,2225.2167458421563,5.021274880212317,True,True,0.18,0.1824,0.242,0.8213,Grid Extension,0.1824,44.3786184189444,10
4122,Pobè,Plateau,Pobe,6.972981,2.65154,75598,22929,8651.497,14494.275383205813,0.0,True,True,-0.044,0.206,0.2574,0.8213,Grid Extension,0.206,43.873121596933416,11
396,Cotonou,Ouémé,Seme-Kpodji,6.374145,2.488618,392046,107364,43626.757,73090.03632945858,0.0,True,True,1.016,0.1913,0.251,0.8213,Grid Extension,0.1913,43.83997158801822,12
6828,Ouèssè,Collines,Ouesse,8.403179,2.590067,1747,678,260.004,435.59739739088445,0.2609850911934292,True,True,-0.163,0.2059,0.256,0.8213,Grid Extension,0.2059,43.51989580187075,13
6971,Ouèssè,Collines,Ouesse,8.592263,2.553391,5281,1481,571.457,957.3898167751368,2.8900155326124515,True,True,-0.309,0.2172,0.2554,0.8213,Grid Extension,0.2172,43.09143278587271,14
9822,Djougou,Donga,Djougou,9.699899,1.663213,139805,42265,15354.594,25724.30110457412,0.0,True,True,0.084,0.214,0.2609,0.8213,Grid Extension,0.214,43.060064416412736,15
6907,Glazoué,Collines,Glazoue,7.966354,2.238561,45100,14092,5373.351,9002.237315070946,0.0,True,True,0.085,0.2039,0.2565,0.8213,Grid Extension,0.2039,42.87868024947177,16
16805,Malanville,Alibori,Malanville,11.731873,3.22332,84,23,11.121,18.631554346794765,180.54664818730205,True,True,-0.652,50.647,0.2377,0.8213,Mini-Grid,0.2377,42.62382735525378,17
1815,Lokossa,Mono,Lokossa,6.641545,1.71727,53294,15083,5735.113,9608.314858781509,0.0,True,True,0.152,0.2045,0.2567,0.8213,Grid Extension,0.2045,42.513439226760866,18
3188,Ifangni,Plateau,Ifangni,6.671707,2.721078,43475,13229,5125.835,8587.561673878496,4.60518168185649,True,True,0.193,0.2034,0.2551,0.8213,Grid Extension,0.2034,42.24844575027709,19
9873,Dassa-Zoumé,Collines,Dassa-Zoume,7.781038,2.194142,59564,17386,6228.876,10435.540123500188,0.0,True,True,0.019,0.217,0.2622,0.8213,Grid Extension,0.217,41.8985603581,20
10095,Ikpinlè,Plateau,Adja-Ouere,6.905529,2.621905,43075,12855,4443.205,7443.918301542148,0.0,True,True,-0.158,0.2249,0.2656,0.8213,Grid Extension,0.2249,41.77935680161045,21
3337,Ifangni,Plateau,Ifangni,6.731619,2.774234,871,338,124.517,208.6094103587666,0.8996858223115385,True,True,-0.371,0.2335,0.2596,0.8213,Grid Extension,0.2335,41.413635595242134,22
4400,Kétou,Plateau,Pobe,7.168179,2.652675,5175,2008,701.482,1175.2270484936862,0.0,True,True,-0.138,0.2225,0.2646,0.8213,Grid Extension,0.2225,41.38471316297369,23
7030,Ouèssè,Collines,Ouesse,8.682167,2.592036,9666,2795,922.115,1544.8642870690273,0.04435236629185889,True,True,-0.358,0.2358,0.2703,0.8213,Grid Extension,0.2358,41.18288115084655,24
9806,Barei,Donga,Djougou,9.665945,1.619772,82,32,32.101,53.78037281597506,0.012642544869180013,False,False,-0.455,0.0787,0.2014,0.8213,Grid Extension,0.0787,40.868190785850985,25
5298,Kétou,Plateau,Ketou,7.456316,2.743162,1830,710,336.033,562.9724936441404,9.073324394838034,True,True,-0.378,0.2482,0.2392,0.8213,Mini-Grid,0.2392,40.77349910656218,26
10185,Aplahoué,Kouffo,Djakotomey,6.933973,1.714133,116983,34470,11567.735,19379.99130670083,8.555962148656679,True,True,0.077,0.234,0.2686,0.8213,Grid Extension,0.234,40.31520169990884,27
3189,Allada,Atlantique,Allada,6.667906,2.149916,59491,19036,6585.414,11032.8656449189,5.050562951770461,True,True,0.085,0.2271,0.2656,0.8213,Grid Extension,0.2271,40.253499293791265,28
4956,Zangnanado,Zou,Zagnanado,7.216188,2.391692,21147,6958,2501.976,4191.682566169965,0.2986400909462203,True,True,0.206,0.2166,0.2618,0.8213,Grid Extension,0.2166,40.21970022192745,29
3109,Ifangni,Plateau,Ifangni,6.699703,2.7768,1397,542,227.631,381.36132969294476,4.007609997339493,True,True,-0.279,0.2399,0.2483,0.8213,Grid Extension,0.2399,40.06975207720586,30
364,Sèmè-Kpodji,Ouémé,Seme-Kpodji,6.385152,2.681848,45267,14097,4914.052,8232.751272455309,1.428350639338366,True,True,0.154,0.2239,0.2648,0.8213,Grid Extension,0.2239,40.00691194748974,31
5392,Kétou,Plateau,Ketou,7.45326,2.563002,7948,2551,988.998,1656.9166429162242,8.006998496014862,True,True,0.073,0.2257,0.255,0.8213,Grid Extension,0.2257,39.73082170328809,32
6875,Location #11652,Collines,Bante,8.429312,2.03462,64,25,10.239,17.153896678071362,54.390800278845916,True,True,-0.431,16.7093,0.2503,0.8213,Mini-Grid,0.2503,39.71598037093438,33
4658,Kpakpamè,Zou,Za-Kpota,7.29397,2.123916,54,21,11.154,18.686840858209585,4.64438455265793,True,True,0.022,1.4412,0.2314,0.8213,Mini-Grid,0.2314,39.23057315865104,34
6563,Oké-Owo,Collines,Save,8.047524,2.703177,253,98,39.605,66.35219044193927,17.76066107584451,True,True,-0.337,1.5869,0.2515,0.8213,Mini-Grid,0.2515,38.99119343179257,35
395,Sèmè-Kpodji,Ouémé,Seme-Kpodji,6.377036,2.60789,62858,17682,6291.431,10540.341569607888,0.0,True,True,0.477,0.2185,0.2628,0.8213,Grid Extension,0.2185,38.93456467769448,36
4123,Adja-Ouèrè,Plateau,Adja-Ouere,6.992494,2.606733,7327,2499,892.796,1495.7447347002048,3.8653767254346896,True,True,0.102,0.2311,0.2625,0.8213,Grid Extension,0.2311,38.88145211259234,37
397,Ouidah,Atlantique,Ouidah,6.371898,2.080454,126670,38294,12786.966,21422.628536967615,16.53258900147047,True,True,0.283,0.2368,0.2691,0.8213,Grid Extension,0.2368,38.84420229676881,38
15337,Kokiborou,Alibori,Banikoara,11.196336,2.317319,149,58,25.712,43.07656913629952,116.1058633184505,True,True,-0.157,14.2179,0.244,0.8213,Mini-Grid,0.244,38.79560976428479,39
17222,Wodora,Borgou,Bembereke,9.965564,2.72809,16070,4507,1378.064,2308.737911101644,0.0,True,True,-0.288,0.2543,0.2784,0.8213,Grid Extension,0.2543,38.58148661073899,40
519,Tori-Bossito,Atlantique,Tori-Bossito,6.466755,2.181193,101066,36618,10985.819,18405.079016504857,1.1549776095599826,True,True,-0.173,0.2595,0.2806,0.8213,Grid Extension,0.2595,38.50128864940385,41
6455,Savalou,Collines,Savalou,7.929642,1.979505,62103,17958,5846.068,9794.203188297615,22.409290341378583,True,True,-0.09,0.2507,0.2717,0.8213,Grid Extension,0.2507,38.48494709341141,42
9484,N'Dali,Borgou,N'dali,9.857503,2.718504,31199,9716,3194.05,5351.147932863935,0.0,True,True,0.121,0.2365,0.2707,0.8213,Grid Extension,0.2365,38.458893289240464,43
7100,Ouèssè,Borgou,Tchaourou,8.799805,2.610502,621,241,89.875,150.5719761638503,1.2107940227176592,True,True,-0.226,0.2504,0.2585,0.8213,Grid Extension,0.2504,38.44556725604029,44
504,Comè,Mono,Come,6.411693,1.887159,76486,24989,8971.419,15030.256331837707,18.34134494096703,True,True,0.509,0.2229,0.262,0.8213,Grid Extension,0.2229,38.40142036463756,45
212,Avlékété,Atlantique,Ouidah,6.344815,2.206427,183,71,22.87,38.315227759301884,13.895736952236081,True,True,-0.654,2.1308,0.2728,0.8213,Mini-Grid,0.2728,38.341453020236614,46
11658,Bembéréké,Borgou,Bembereke,10.227834,2.673451,20784,6516,2134.237,3575.5914624979964,0.3347539990118619,True,True,0.099,0.2378,0.2711,0.8213,Grid Extension,0.2378,38.28046890009274,47
7776,Tchaourou,Borgou,Tchaourou,9.280623,2.89931,1737,674,203.788,341.4159875213211,33.46526703151765,True,True,-0.759,0.7678,0.2797,0.8213,Mini-Grid,0.2797,38.16874186481985,48
7279,Manigri,Donga,Bassila,8.974968,1.720402,10693,3319,1293.308,2166.742045602414,57.844094799753584,True,True,-0.237,0.3386,0.2546,0.8213,Mini-Grid,0.2546,38.14955662802543,49
4959,Covè,Zou,Cove,7.222045,2.341707,65879,19916,6530.425,10940.73988806467,0.027254889414125585,True,True,0.285,0.2371,0.2709,0.8213,Grid Extension,0.2371,37.889127826215,50
6571,Oké-Owo,Collines,Save,8.052392,2.709617,2384,925,329.191,551.5097569441341,17.119925179867284,True,True,-0.337,0.3802,0.2628,0.8213,Mini-Grid,0.2628,37.63984386383572,51
514,Djèrègbé,Ouémé,Seme-Kpodji,6.429928,2.618948,36130,11722,4144.068,6942.75947835744,0.0,True,True,0.598,0.2199,0.2635,0.8213,Grid Extension,0.2199,37.61733636148637,52
5536,Kétou,Plateau,Ketou,7.447958,2.585839,1949,756,287.05,480.90888186740733,6.6163137701487935,True,True,-0.214,0.2764,0.2569,0.8213,Mini-Grid,0.2569,37.59563038358385,53
17116,Nikki,Borgou,Nikki,9.93483,3.206382,51515,14624,4930.472,8260.26050025626,49.42516830353417,True,True,-0.184,0.2618,0.2681,0.8213,Grid Extension,0.2618,37.54924453780028,54
6257,Igbodja,Collines,Save,7.814237,2.585411,691,268,76.41,128.0134041577725,0.47317862377197967,True,True,-0.765,0.2919,0.2865,0.8213,Mini-Grid,0.2865,37.357907003374876,55
1806,Ifangni,Plateau,Ifangni,6.618632,2.691957,63630,22443,7147.985,11975.368311983973,7.063804225866907,True,True,0.192,0.2472,0.274,0.8213,Grid Extension,0.2472,37.19392668762809,56
63,Adjaha,Mono,Grand-Popo,6.326151,1.840779,49,19,6.305,10.563074377892365,29.34996762691781,True,True,-0.392,14.7103,0.2697,0.8213,Mini-Grid,0.2697,37.10027677022032,57
6870,Pira,Collines,Bante,8.411003,1.889258,23108,7768,2924.966,4900.3383680898205,58.66434077300017,True,True,-0.083,0.2688,0.2576,0.8213,Mini-Grid,0.2576,37.01598623913294,58
7283,Bassila,Donga,Bassila,9.004743,1.674446,23257,7031,2664.65,4464.218261863742,59.886541884678024,True,True,-0.057,0.275,0.257,0.8213,Mini-Grid,0.257,36.93102024406993,59
8568,Partago,Donga,Djougou,9.536572,1.913004,20081,5993,1721.725,2884.489965626761,0.0,True,True,-0.31,0.2706,0.2856,0.8213,Grid Extension,0.2706,36.782074859177435,60
2881,Houègbo,Atlantique,Toffo,6.808065,2.175096,32612,10224,3529.432,5913.029774419255,18.162294664821765,True,True,0.309,0.2412,0.2658,0.8213,Grid Extension,0.2412,36.74322678981053,61
12407,Natitingou,Atakora,Natitingou,10.291666,1.378998,89314,28001,8646.574,14486.027640912022,2.572655012128623,True,True,0.237,0.2527,0.2773,0.8213,Grid Extension,0.2527,36.625507081914954,62
7377,Tchaourou,Borgou,Tchaourou,9.094731,2.889946,871,338,109.99,184.27161789443,37.47396123139114,True,True,-0.35,1.2984,0.2717,0.8213,Mini-Grid,0.2717,36.60825659181617,63
6501,Atchakpa,Collines,Save,8.008546,2.398657,59,23,8.489,14.222036224255081,13.377102296598531,True,True,-0.098,5.1111,0.2594,0.8213,Mini-Grid,0.2594,36.5448259996476,64
8122,Darnon,Borgou,N'dali,9.428564,2.718941,1209,469,134.588,225.4818484332716,10.954066873559897,True,True,-0.609,0.524,0.2857,0.8213,Mini-Grid,0.2857,36.49979005720482,65
9848,Kika,Borgou,Tchaourou,9.289049,2.780591,2044,793,232.727,389.8989073344578,20.31023793183751,True,True,-0.544,0.5363,0.2831,0.8213,Mini-Grid,0.2831,36.428906863067965,66
6882,Location #885,Collines,Bante,8.431864,2.040386,1405,545,167.466,280.5639672907411,54.006519844278586,True,True,-0.431,1.2559,0.2779,0.8213,Mini-Grid,0.2779,36.357752995595106,67
684,Sô-Ava,Atlantique,So-Ava,6.50475,2.402089,52,20,11.387,19.07719713577484,7.196334726825134,True,True,0.594,2.1019,0.2271,0.8213,Mini-Grid,0.2271,36.22308648872779,68
7225,Kikélé,Donga,Bassila,9.012195,1.728801,1791,695,219.705,368.0825148604032,55.4556153230998,True,True,-0.345,1.0309,0.2748,0.8213,Mini-Grid,0.2748,36.21164122996832,69
6134,Ouinhi,Zou,Ouinhi,7.090617,2.509935,8281,2977,935.706,1567.63395302778,4.5774192788857855,True,True,-0.084,0.2626,0.2754,0.8213,Grid Extension,0.2626,36.189194804475804,70
15398,Kokiborou,Alibori,Banikoara,11.201957,2.320889,2322,901,268.669,450.11429500935185,116.40932683568764,True,True,-0.466,1.6081,0.2812,0.8213,Mini-Grid,0.2812,36.183730087772005,71
